Ape	małpa
Baboon	pawian
Bear	Niedźwiedź
Boar	dzik
Buffalo	bawół
Bull	byk
Calf	cielę
Camel	wielbłąd
Cat	kot
Chimpanzee	szympans
Cow	krowa
Crocodile	krokodyl
Deer	jeleń
Dog	pies
Donkey	osioł
Elephant	słoń
Ewe	owca
Fox	lis
Frog	żaba
Giraffe	żyrafa
Goat	Koza
Gorilla	goryl
Arch	łuk
Attic	poddasze
Barrack	barak
Bar	bar
BathRoom	łazienka
Battlement	krenelaż
Beam	Belka
Bedroom	sypialnia
Booking Office	Biuro rezerwacji
Brick	cegła
Building	budynek
Bungalow	bungalow
Ceiling	sufit
Cement	cement
Chain	łańcuch
Chimney	komin
Church	kościół
Cinema Hall	sala kinowa
Cloister	klasztor
Drake	kaczor
Duck	kaczka
Duckling	kaczątko
Eagle	orzeł
Feather	pióro
Gadwall	gadwall
Goose	gęś
Hawk	jastrząb
Hen	kura
Heron	czapla
Kingfisher	zimorodek
Kite	latawiec
Lark	skowronek
Macaw	ara
Magpie	sroka
Mynah	szpak azjatycki
Nightingale	słowik
Ankle	kostka
Arm	ramię
Armpit	Pacha
Beard	zarost
Belly	brzuszek
Blood	krew
Body	ciało
Bone	kość
Brain	mózg
Breast	pierś
Cheek	policzek
Chest	klatka piersiowa
Chin	Broda
Ear	ucho
Elbow	łokieć
Eye	oko
Eyebrow	brew
Eyelid	powieka
Face	Twarz
Fingers	palce
Blanket	koc
Blouse	bluza
Bodice	gorset
Boots	buty
Border	granica
Bra	biustonosz
Button	przycisk
Belt	pas
Cap	czapka
Cloth	płótno
Coat	płaszcz
Cotton	bawełna
Damask	adamaszek
Darning	cerowanie
Dress	sukienka
Frock	kitel
Garb	strój
Gloves	rękawiczki
Gown	suknia
Handkerchief	chusteczka
colored	kolorowy
light	jasny
dark	ciemny
white	biały
black	czarny
yellow	żółty
orange	pomarańczowy
red	czerwony
pink	różowy
violet	fioletowy
blue	niebieski
green	zielony
brown	brązowy
grey	szary
child	dziecko
man	mężczyzna
woman	kobieta
family	rodzina
town	miasto
city	miasto
country	kraj
world	świat
house	dom
car	samochód
street	ulica
shop	sklep
door	drzwi
table	stół
chair	krzesło
window	okno
newspaper	gazeta
book	książka
ballpen	długopis
bag	torba
rucksack	plecak
happiness	radość
love	miłość
flower	kwiat
ball	piłka
work	praca
vacation	wakacje
passport	paszport
language	język
question	pytanie
answer	odpowiedź
beginning	początek
end	koniec
